level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,0.001,1.0,0.000244,Nan
0.1,SSB_VAE,10,10000,0.015625,Nan
0.1,SSB_VAE,10000,10000000,0.003906,Nan
0.2,SSB_VAE,0.001,1.0,0.000244,Nan
0.2,SSB_VAE,10,10000,0.015625,Nan
0.2,SSB_VAE,10000,10000000,0.003906,Nan
0.3,SSB_VAE,0.001,1.0,0.000244,Nan
0.3,SSB_VAE,10,10000,0.015625,Nan
0.3,SSB_VAE,10000,10000000,0.003906,Nan
0.4,SSB_VAE,0.001,1.0,0.000244,Nan
0.4,SSB_VAE,10,10000,0.015625,Nan
0.4,SSB_VAE,10000,10000000,0.003906,Nan
0.5,SSB_VAE,0.001,1.0,0.000244,Nan
0.5,SSB_VAE,10,10000,0.015625,Nan
0.5,SSB_VAE,10000,10000000,0.003906,Nan
0.6,SSB_VAE,0.001,1.0,0.000244,Nan
0.6,SSB_VAE,10,10000,0.015625,Nan
0.6,SSB_VAE,10000,10000000,0.003906,Nan
0.7,SSB_VAE,0.001,1.0,0.000244,Nan
0.7,SSB_VAE,10,10000,0.015625,Nan
0.7,SSB_VAE,10000,10000000,0.003906,Nan
0.8,SSB_VAE,0.001,1.0,0.000244,Nan
0.8,SSB_VAE,10,10000,0.015625,Nan
0.8,SSB_VAE,10000,10000000,0.003906,Nan
0.9,SSB_VAE,0.001,1.0,0.000244,Nan
0.9,SSB_VAE,10,10000,0.015625,Nan
0.9,SSB_VAE,10000,10000000,0.003906,Nan
1.0,SSB_VAE,0.001,1.0,0.000244,Nan
1.0,SSB_VAE,10,10000,0.015625,Nan
1.0,SSB_VAE,10000,10000000,0.003906,Nan
level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,0.001,10000000.0,0.015625,0.6590010000000001
0.1,SSB_VAE,0.0001,100000000.0,0.03125,Nan
0.1,SSB_VAE,1e-05,1000000000.0,0.0625,Nan
0.2,SSB_VAE,0.001,10000000.0,0.000244,0.6853635
0.2,SSB_VAE,0.0001,100000000.0,0.000122,Nan
0.2,SSB_VAE,1e-05,1000000000.0,6.1e-05,Nan
0.3,SSB_VAE,0.001,10000000.0,0.003906,0.7177475
0.3,SSB_VAE,0.0001,100000000.0,0.001953,Nan
0.3,SSB_VAE,1e-05,1000000000.0,0.007812,Nan
0.4,SSB_VAE,0.001,10000000.0,0.003906,0.719777
0.4,SSB_VAE,0.0001,100000000.0,0.001953,Nan
0.4,SSB_VAE,1e-05,1000000000.0,0.007812,Nan
0.5,SSB_VAE,0.001,10000000.0,0.003906,0.7275125
0.5,SSB_VAE,0.0001,100000000.0,0.001953,Nan
0.5,SSB_VAE,1e-05,1000000000.0,0.007812,Nan
0.6,SSB_VAE,0.001,10000000.0,0.000244,0.7246824999999999
0.6,SSB_VAE,0.0001,100000000.0,0.000122,Nan
0.6,SSB_VAE,1e-05,1000000000.0,6.1e-05,Nan
0.7,SSB_VAE,0.001,10000000.0,0.015625,0.7289835
0.7,SSB_VAE,0.0001,100000000.0,0.03125,Nan
0.7,SSB_VAE,1e-05,1000000000.0,0.0625,Nan
0.8,SSB_VAE,10.0,10000000.0,0.003906,0.733915
0.8,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.8,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.9,SSB_VAE,10.0,10000000.0,0.000244,0.7515080000000001
0.9,SSB_VAE,100.0,100000000.0,0.000122,Nan
0.9,SSB_VAE,1.0,1000000000.0,6.1e-05,Nan
1.0,SSB_VAE,0.001,10000000.0,0.000244,0.7480675000000001
1.0,SSB_VAE,0.0001,100000000.0,0.000122,Nan
1.0,SSB_VAE,1e-05,1000000000.0,6.1e-05,Nan
level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,0.001,10000000.0,0.015625,0.6590010000000001
0.1,SSB_VAE,0.0001,100000000.0,0.03125,Nan
0.1,SSB_VAE,1e-05,1000000000.0,0.0625,Nan
0.2,SSB_VAE,0.001,10000000.0,0.000244,0.6853635
0.2,SSB_VAE,0.0001,100000000.0,0.000122,Nan
0.2,SSB_VAE,1e-05,1000000000.0,6.1e-05,Nan
0.3,SSB_VAE,0.001,10000000.0,0.003906,0.7177475
0.3,SSB_VAE,0.0001,100000000.0,0.001953,Nan
0.3,SSB_VAE,1e-05,1000000000.0,0.007812,Nan
0.4,SSB_VAE,0.001,10000000.0,0.003906,0.719777
0.4,SSB_VAE,0.0001,100000000.0,0.001953,Nan
0.4,SSB_VAE,1e-05,1000000000.0,0.007812,Nan
0.5,SSB_VAE,0.001,10000000.0,0.003906,0.7275125
0.5,SSB_VAE,0.0001,100000000.0,0.001953,Nan
0.5,SSB_VAE,1e-05,1000000000.0,0.007812,Nan
0.6,SSB_VAE,0.001,10000000.0,0.000244,0.7246824999999999
0.6,SSB_VAE,0.0001,100000000.0,0.000122,Nan
0.6,SSB_VAE,1e-05,1000000000.0,6.1e-05,Nan
0.7,SSB_VAE,0.001,10000000.0,0.015625,0.7289835
0.7,SSB_VAE,0.0001,100000000.0,0.03125,Nan
0.7,SSB_VAE,1e-05,1000000000.0,0.0625,Nan
0.8,SSB_VAE,10.0,10000000.0,0.003906,0.733915
0.8,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.8,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.9,SSB_VAE,10.0,10000000.0,0.000244,0.7515080000000001
0.9,SSB_VAE,100.0,100000000.0,0.000122,Nan
0.9,SSB_VAE,1.0,1000000000.0,6.1e-05,Nan
1.0,SSB_VAE,0.001,10000000.0,0.000244,0.7480675000000001
1.0,SSB_VAE,0.0001,100000000.0,0.000122,Nan
1.0,SSB_VAE,1e-05,1000000000.0,6.1e-05,Nan
